                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.49221,                0.36707,                 1.0731,                0.99892,                      1,                  0.995,                0.97837,                0.23847,                0.21574,                0.83322,             0.00073156,             0.00073156,             0.00073156
                     84,                0.47497,                0.35688,                 1.0488,                      1,                0.99198,                  0.995,                0.96828,                 0.2512,                0.25536,                0.85255,             0.00071609,             0.00071609,             0.00071609
                     85,                0.54099,                0.39672,                 1.0807,                0.99214,                      1,                  0.995,                0.98167,                0.22257,                0.22301,                0.82732,             0.00070063,             0.00070063,             0.00070063
                     86,                0.47226,                0.35003,                 1.0476,                0.99885,                      1,                  0.995,                0.98518,                0.19042,                 0.1985,                0.80841,             0.00068516,             0.00068516,             0.00068516
                     87,                0.47342,                0.34336,                 1.0683,                0.99884,                      1,                  0.995,                0.98971,                0.19433,                0.19963,                0.79794,             0.00066969,             0.00066969,             0.00066969
                     88,                0.47786,                0.34754,                 1.0497,                  0.999,                      1,                  0.995,                0.99041,                0.16944,                0.17669,                0.78432,             0.00065422,             0.00065422,             0.00065422
                     89,                0.47501,                0.35257,                   1.06,                  0.999,                      1,                  0.995,                0.99351,                0.16606,                0.17376,                0.78321,             0.00063875,             0.00063875,             0.00063875
                     90,                0.44789,                0.34519,                 1.0208,                0.99903,                      1,                  0.995,                0.99133,                0.17652,                0.18187,                0.78945,             0.00062328,             0.00062328,             0.00062328
                     91,                0.46556,                0.35644,                 1.0334,                0.99906,                      1,                  0.995,                0.99331,                0.17093,                0.17743,                0.78538,             0.00060781,             0.00060781,             0.00060781
                     92,                 0.4418,                0.34574,                 1.0426,                0.99902,                      1,                  0.995,                0.98229,                0.22505,                0.21013,                0.82307,             0.00059234,             0.00059234,             0.00059234
                     93,                0.45656,                0.36444,                 1.0159,                0.99896,                      1,                  0.995,                0.97693,                0.25746,                0.22704,                0.84302,             0.00057688,             0.00057688,             0.00057688
                     94,                0.46687,                0.35015,                 1.0399,                0.99905,                      1,                  0.995,                0.98878,                0.20324,                0.20544,                0.80605,             0.00056141,             0.00056141,             0.00056141
                     95,                0.45056,                0.34216,                 1.0362,                0.99889,                      1,                  0.995,                0.99115,                0.19107,                0.19788,                0.79167,             0.00054594,             0.00054594,             0.00054594
                     96,                0.42162,                0.32306,                 1.0205,                0.99882,                      1,                  0.995,                0.99103,                0.18484,                0.18542,                0.78455,             0.00053047,             0.00053047,             0.00053047
